Process Arrival_Time Service_Time Priority
P1377 7596 14 8
P1378 7602 8 10
P1379 7609 7 17
P1380 7613 7 20
P1381 7621 14 5
P1382 7623 20 5
P1383 7626 10 5
P1384 7636 3 20
P1385 7638 4 9
P1386 7648 19 17
P1387 7658 1 3
P1388 7666 10 10
P1389 7673 10 13
P1390 7674 12 3
P1391 7684 11 15
P1392 7688 20 1
P1393 7689 4 6
P1394 7692 10 10
P1395 7701 12 2
P1396 7706 10 11
P1397 7711 4 10
P1398 7717 18 14
P1399 7726 13 7
P1400 7730 14 19
P1401 7735 15 7
P1402 7743 8 10
P1403 7747 5 6
P1404 7755 13 20
P1405 7757 4 2
P1406 7766 2 17
P1407 7768 9 16
P1408 7773 10 2
P1409 7780 16 4
P1410 7781 8 13
P1411 7787 14 19
P1412 7796 16 7
P1413 7798 11 3
P1414 7808 5 16
P1415 7817 20 12
P1416 7819 3 17
P1417 7829 5 4
P1418 7831 10 8
P1419 7837 1 18
P1420 7840 3 19
P1421 7844 15 2
P1422 7846 12 9
P1423 7856 10 1
P1424 7858 6 6
P1425 7867 7 17
P1426 7873 9 17
P1427 7883 2 12
P1428 7892 12 5
P1429 7895 2 16
P1430 7896 4 7
P1431 7903 13 6
P1432 7913 11 18
P1433 7918 13 13
P1434 7925 5 4
P1435 7932 11 3
P1436 7936 20 18
P1437 7938 14 15
P1438 7946 3 18
P1439 7952 5 2
P1440 7954 11 4
P1441 7959 12 5
P1442 7963 9 2
P1443 7969 3 2
P1444 7975 15 10
P1445 7976 12 13
P1446 7983 14 15
P1447 7992 20 10
P1448 7995 15 5
P1449 7996 5 17
P1450 8003 17 15
P1451 8005 14 12
P1452 8013 19 5
P1453 8017 11 5
P1454 8027 3 6
P1455 8028 18 1
P1456 8029 18 3
P1457 8035 16 18
P1458 8045 2 18
P1459 8053 14 13
P1460 8061 2 18
P1461 8066 12 15
P1462 8072 6 2
P1463 8080 19 5
P1464 8081 13 8
P1465 8089 14 5
P1466 8094 3 6
P1467 8096 18 11
P1468 8104 15 3
P1469 8113 2 11
P1470 8116 3 6
P1471 8126 2 17
P1472 8136 8 6
P1473 8145 12 14
P1474 8150 20 4
P1475 8154 8 17
P1476 8163 16 17
P1477 8169 13 2
P1478 8179 4 20
P1479 8185 6 15
P1480 8187 20 3
P1481 8197 17 6
P1482 8199 3 2
P1483 8205 17 11
P1484 8214 2 9
P1485 8219 13 18
P1486 8220 17 7
P1487 8226 17 1
P1488 8232 16 20
P1489 8236 11 14
P1490 8239 1 1
P1491 8246 13 15
P1492 8253 2 4
P1493 8260 19 13
P1494 8269 6 14
P1495 8279 11 15
P1496 8283 10 17
P1497 8285 3 20
P1498 8295 4 12
P1499 8299 2 9
P1500 8302 1 1
P1501 8309 12 7
P1502 8310 9 9
P1503 8315 18 17
P1504 8319 6 13
P1505 8322 3 5
P1506 8325 13 13
P1507 8330 12 8
P1508 8331 5 10
P1509 8335 7 11
P1510 8342 15 9
P1511 8343 2 11
P1512 8344 20 4
P1513 8351 17 17
P1514 8358 5 14
P1515 8359 12 18
P1516 8363 5 11
P1517 8370 2 17
P1518 8377 14 7
P1519 8386 12 3
P1520 8387 9 15
P1521 8393 11 8
P1522 8399 18 9
P1523 8407 20 10
P1524 8417 11 20
P1525 8425 18 15
P1526 8433 6 15
P1527 8439 10 4
P1528 8446 1 8
P1529 8454 7 13
P1530 8462 5 14
P1531 8468 19 9
P1532 8472 18 20
P1533 8474 10 2
P1534 8475 14 19
P1535 8480 3 7
P1536 8484 3 16
P1537 8488 15 20
P1538 8495 20 16
P1539 8497 11 15
P1540 8502 8 8
P1541 8507 6 12
P1542 8508 6 4
P1543 8514 5 11
P1544 8520 10 20
P1545 8525 4 7
P1546 8534 3 13
P1547 8539 8 6
P1548 8541 19 14
P1549 8543 6 14
P1550 8553 9 13
P1551 8555 8 15
P1552 8563 12 5
P1553 8569 13 3
P1554 8577 9 16
P1555 8585 13 8
P1556 8590 2 13
P1557 8596 10 13
P1558 8602 11 10
P1559 8611 2 8
P1560 8612 19 14
P1561 8618 15 10
P1562 8626 18 16
P1563 8633 20 19
P1564 8635 3 13
P1565 8645 14 19
P1566 8648 14 16
P1567 8650 15 2
P1568 8660 18 1
P1569 8667 12 8
P1570 8675 4 5
P1571 8677 13 15
P1572 8680 4 13
P1573 8684 13 5
P1574 8691 7 20
P1575 8695 13 2
P1576 8699 7 14
P1577 8705 3 8
P1578 8711 5 20
P1579 8720 14 9
P1580 8727 8 11
P1581 8733 12 20
P1582 8739 12 15
P1583 8743 12 19
P1584 8752 13 5
P1585 8761 20 2
P1586 8767 13 5
P1587 8775 2 11
P1588 8777 18 13
P1589 8785 10 19
P1590 8789 13 5
P1591 8790 4 4
P1592 8800 18 10
P1593 8801 19 13
P1594 8802 7 11
P1595 8805 16 4
P1596 8811 15 11
P1597 8819 20 1
P1598 8824 13 8
P1599 8833 8 6
P1600 8837 12 13
P1601 8845 15 17
P1602 8849 6 12
P1603 8857 2 11
P1604 8864 18 6
P1605 8873 1 13
P1606 8882 20 12
P1607 8890 3 8
P1608 8895 9 10
P1609 8903 17 12
P1610 8912 10 7
P1611 8922 4 9
P1612 8923 5 9
P1613 8929 1 5
P1614 8930 13 16
P1615 8936 7 5
P1616 8942 1 13
P1617 8950 9 6
P1618 8957 11 1
P1619 8961 5 19
P1620 8970 19 8
P1621 8978 3 16
P1622 8985 19 13
P1623 8987 17 7
P1624 8989 17 1
P1625 8991 18 19
P1626 8994 15 5
P1627 8999 12 3
P1628 9002 10 20
P1629 9003 9 17
P1630 9013 3 12
P1631 9019 1 8
P1632 9024 8 14
P1633 9028 20 2
P1634 9033 11 9
P1635 9036 14 8
P1636 9044 8 2
P1637 9048 1 18
P1638 9049 10 2
P1639 9054 16 2
P1640 9057 19 9
P1641 9066 19 3
P1642 9071 12 3
P1643 9081 12 13
P1644 9088 13 5
P1645 9098 12 3
P1646 9099 5 19
P1647 9109 15 4
P1648 9111 15 13
P1649 9114 20 7
P1650 9115 19 10
P1651 9123 8 6
P1652 9132 1 15
P1653 9136 9 17
P1654 9137 19 14
P1655 9146 3 5
P1656 9152 8 6
P1657 9157 8 8
P1658 9162 11 19
P1659 9164 5 1
P1660 9165 1 1
P1661 9166 12 15
P1662 9171 15 6
P1663 9173 1 11
P1664 9183 14 8
P1665 9190 14 5
P1666 9196 13 17
P1667 9201 2 9
P1668 9209 13 6
P1669 9212 18 2
P1670 9222 17 9
P1671 9224 18 3
P1672 9229 18 7
P1673 9234 20 20
P1674 9236 5 10
P1675 9244 13 6
P1676 9247 8 7
P1677 9248 17 19
P1678 9257 16 2
P1679 9262 11 5
P1680 9264 11 14
P1681 9274 20 9
P1682 9284 13 5
P1683 9290 18 2
P1684 9291 13 6
P1685 9295 3 19
P1686 9304 15 17
P1687 9308 20 19
P1688 9314 12 6
P1689 9316 10 12
P1690 9322 11 14
P1691 9329 3 17
P1692 9337 14 16
P1693 9344 14 11
P1694 9348 14 3
P1695 9356 10 3
P1696 9358 2 11
P1697 9359 2 16
P1698 9361 8 14
P1699 9368 20 10
P1700 9373 10 17
P1701 9383 11 14
P1702 9386 1 17
P1703 9394 15 19
P1704 9402 5 7
P1705 9412 5 16
P1706 9417 18 2
P1707 9419 19 18
P1708 9424 15 14
P1709 9429 2 8
P1710 9437 14 16
P1711 9438 15 15
P1712 9444 2 20
P1713 9449 1 16
P1714 9456 13 14
P1715 9462 19 10
P1716 9472 2 16
P1717 9481 18 19
P1718 9487 20 16
P1719 9495 10 12
P1720 9500 12 1
P1721 9509 8 7
P1722 9515 15 4
P1723 9522 6 15
P1724 9529 12 1
P1725 9534 7 9
P1726 9540 20 4
P1727 9545 15 8
P1728 9551 17 13
P1729 9560 20 16
P1730 9568 14 1
P1731 9578 9 3
P1732 9586 17 20
P1733 9596 5 6
P1734 9599 17 2
P1735 9605 9 19
P1736 9613 16 18
P1737 9621 18 3
P1738 9630 19 9
P1739 9639 1 20
P1740 9647 4 10
P1741 9650 1 4
P1742 9651 2 1
P1743 9660 15 10
P1744 9664 15 18
P1745 9672 16 3
P1746 9681 10 17
P1747 9688 14 15
P1748 9698 9 1
P1749 9701 5 12
P1750 9703 6 13
P1751 9711 7 4
P1752 9716 8 14
P1753 9720 13 20
P1754 9726 3 19
P1755 9729 15 7
P1756 9735 20 16
P1757 9742 10 8
P1758 9752 5 3
P1759 9754 12 7
P1760 9755 18 9
P1761 9756 11 9
P1762 9762 17 2
P1763 9765 1 9
P1764 9772 5 3
P1765 9779 12 17
P1766 9786 19 16
P1767 9792 14 6
P1768 9797 15 15
P1769 9802 14 9
P1770 9808 15 17
P1771 9813 1 5
P1772 9819 6 16
P1773 9820 10 1
P1774 9822 13 9
P1775 9831 7 15
P1776 9840 10 13
P1777 9848 1 8
P1778 9850 14 19
P1779 9859 9 8
P1780 9868 16 3
P1781 9871 1 9
P1782 9875 9 18
P1783 9882 2 4
P1784 9886 4 17
P1785 9896 2 20
P1786 9901 14 6
P1787 9907 16 18
P1788 9908 12 11
P1789 9913 20 10
P1790 9915 9 2
P1791 9925 17 15
P1792 9929 18 5
P1793 9937 3 11
P1794 9941 3 2
P1795 9948 17 19
P1796 9952 10 9
P1797 9962 3 1
P1798 9965 1 3
P1799 9966 1 16
P1800 9975 11 3
P1801 9978 1 6
P1802 9987 12 20
P1803 9988 10 8
P1804 9992 2 20
P1805 9999 10 8
P1806 10004 19 13
P1807 10014 3 20
P1808 10015 8 12
P1809 10018 11 9
P1810 10023 11 18
P1811 10028 7 13
P1812 10034 1 11
P1813 10037 5 9
P1814 10039 17 1
P1815 10043 7 18
P1816 10050 1 8
P1817 10055 19 15
P1818 10060 10 4
P1819 10063 15 19
P1820 10068 7 13
P1821 10069 16 1
P1822 10070 3 8
P1823 10079 2 1
P1824 10081 20 18
P1825 10089 9 13
P1826 10099 14 15
P1827 10104 7 1
P1828 10114 13 18
P1829 10118 7 16
P1830 10125 20 3
P1831 10133 10 2
P1832 10143 11 18
P1833 10146 13 13
P1834 10151 8 4
P1835 10153 16 17
P1836 10159 10 5
P1837 10165 1 5
P1838 10172 4 15
P1839 10175 11 4
P1840 10181 8 12
P1841 10186 3 3
P1842 10189 2 20
P1843 10198 4 2
P1844 10205 8 16
P1845 10213 2 1
P1846 10219 1 1
P1847 10223 13 1
P1848 10233 14 4
P1849 10242 11 1
P1850 10249 9 11
P1851 10254 10 6
P1852 10256 17 12
P1853 10261 19 13
P1854 10263 13 4
P1855 10271 15 12
P1856 10281 16 7
P1857 10283 17 4
P1858 10285 7 7
P1859 10295 5 12
P1860 10301 1 19
P1861 10308 11 3
P1862 10314 15 9
P1863 10318 13 7
P1864 10328 19 7
P1865 10333 15 7
P1866 10341 4 12
P1867 10344 7 17
P1868 10348 5 4
P1869 10352 2 8
P1870 10361 20 20
P1871 10370 11 20
P1872 10373 2 4
P1873 10378 5 13
P1874 10382 11 7
P1875 10389 16 12
P1876 10397 11 12
P1877 10399 12 13
P1878 10406 14 14
P1879 10408 18 6
P1880 10411 4 4
P1881 10419 2 14
P1882 10421 16 2
P1883 10427 7 12
P1884 10428 11 8
P1885 10434 20 12
P1886 10437 13 8
P1887 10444 16 4
P1888 10450 2 12
P1889 10454 18 12
P1890 10458 5 5
P1891 10460 14 7
P1892 10462 10 8
P1893 10471 4 10
P1894 10480 4 19
P1895 10487 6 7
P1896 10494 16 2
P1897 10495 6 16
P1898 10496 20 8
P1899 10497 20 14
P1900 10500 11 20
P1901 10508 18 9
P1902 10515 15 20
P1903 10520 19 2
P1904 10528 10 17
P1905 10533 12 1
P1906 10540 13 13
P1907 10542 20 6
P1908 10550 4 3
P1909 10555 10 5
P1910 10560 8 7
P1911 10566 1 7
P1912 10574 18 18
P1913 10584 17 9
P1914 10588 15 13
P1915 10593 9 12
P1916 10601 4 19
P1917 10603 16 17
P1918 10604 8 3
P1919 10612 10 9
P1920 10616 7 19
P1921 10620 9 13
P1922 10630 10 16
P1923 10638 5 14
P1924 10648 13 4
P1925 10654 5 9
P1926 10664 17 2
P1927 10669 9 6
P1928 10678 1 5
P1929 10685 16 12
P1930 10688 7 20
P1931 10698 1 18
P1932 10701 1 18
P1933 10702 4 3
P1934 10710 4 16
P1935 10713 15 5
P1936 10721 5 19
P1937 10730 20 17
P1938 10731 2 13
P1939 10738 6 9
P1940 10745 15 18
P1941 10747 5 9
P1942 10755 7 18
P1943 10756 18 3
P1944 10758 4 18
P1945 10759 16 20
P1946 10760 9 12
P1947 10761 7 10
P1948 10770 13 2
P1949 10780 11 15
P1950 10785 6 13
P1951 10791 3 4
P1952 10798 10 6
P1953 10804 13 19
P1954 10814 8 18
P1955 10816 8 10
P1956 10824 17 4
P1957 10826 11 15
P1958 10830 16 7
P1959 10834 18 9
P1960 10840 18 5
P1961 10843 13 19
P1962 10849 11 20
P1963 10854 15 5
P1964 10858 6 10
P1965 10865 17 15
P1966 10874 4 6
P1967 10876 8 1
P1968 10885 14 9
P1969 10894 18 14
P1970 10896 8 19
P1971 10906 7 4
P1972 10908 6 13
P1973 10916 4 4
P1974 10926 6 2
P1975 10928 10 3
P1976 10938 2 9
P1977 10943 6 13
P1978 10953 8 3
P1979 10960 7 2
P1980 10965 12 20
P1981 10974 12 3
P1982 10977 6 18
P1983 10981 8 20
P1984 10984 3 1
P1985 10990 19 2
P1986 10994 8 18
P1987 10996 14 14
P1988 10998 6 12
P1989 11004 2 18
P1990 11006 11 12
P1991 11010 9 3
P1992 11014 8 9
P1993 11017 2 20
P1994 11021 2 8
P1995 11023 10 2
P1996 11024 14 11
P1997 11025 4 5
P1998 11027 3 4
P1999 11037 20 15
P2000 11044 6 16
P2001 11052 18 12
P2002 11055 16 6
P2003 11058 15 19
P2004 11059 15 7
P2005 11066 16 7
P2006 11074 11 11
P2007 11080 7 17
P2008 11084 5 15
P2009 11088 8 13
P2010 11098 6 10
P2011 11104 8 1
P2012 11106 15 14
P2013 11113 8 17
P2014 11116 14 10
P2015 11117 6 13
P2016 11127 10 13
P2017 11132 14 1
P2018 11141 14 8
P2019 11146 11 2
P2020 11149 9 19
P2021 11156 13 16
P2022 11164 6 11
P2023 11174 6 13
P2024 11184 2 2
P2025 11191 15 1
P2026 11193 9 4
P2027 11197 15 17
P2028 11198 14 5
P2029 11206 14 9
P2030 11214 17 4
P2031 11220 17 2
P2032 11225 8 15
P2033 11229 11 11
P2034 11238 6 20
P2035 11247 3 18
P2036 11249 10 13
P2037 11253 12 2
P2038 11262 8 1
P2039 11270 18 20
P2040 11280 16 11
P2041 11286 5 19
P2042 11294 20 17
P2043 11298 14 18
P2044 11302 14 19
P2045 11310 18 5
P2046 11316 16 1
P2047 11318 11 16
P2048 11321 16 5
P2049 11328 19 1
P2050 11334 6 8
P2051 11342 7 2
P2052 11350 9 1
P2053 11353 4 14
P2054 11362 19 18
P2055 11372 17 5
P2056 11375 12 3
P2057 11383 11 8
P2058 11392 16 16
P2059 11399 4 10
P2060 11405 5 14
P2061 11410 11 19
P2062 11418 9 16
P2063 11422 9 6
P2064 11431 4 19
P2065 11432 10 3
P2066 11434 17 8
P2067 11436 17 18
P2068 11438 5 14
P2069 11439 17 13
P2070 11440 10 1
P2071 11441 3 9
P2072 11450 12 10
P2073 11460 10 1
P2074 11463 14 16
P2075 11467 9 2
P2076 11475 11 1
P2077 11484 7 18
P2078 11485 9 11
P2079 11488 5 8
P2080 11498 9 3
P2081 11503 18 18
P2082 11509 3 5
P2083 11512 18 15
P2084 11515 6 3
P2085 11516 20 8
P2086 11522 20 11
P2087 11523 3 5
P2088 11530 2 10
P2089 11532 2 10
P2090 11533 3 9
P2091 11541 19 18
P2092 11547 3 19
P2093 11550 14 6
P2094 11554 17 15
P2095 11559 2 12
P2096 11564 6 3
P2097 11568 10 15
P2098 11578 3 6
P2099 11587 19 6
P2100 11588 10 3
P2101 11598 2 8
P2102 11606 1 5
P2103 11610 7 18
P2104 11617 7 15
P2105 11625 11 13
P2106 11626 7 20
P2107 11634 5 16
P2108 11644 20 4
P2109 11651 6 2
P2110 11658 17 5
P2111 11659 18 9
P2112 11663 11 4
P2113 11672 10 12
P2114 11677 19 18
P2115 11679 20 8
P2116 11687 16 5
P2117 11692 13 17
P2118 11697 3 1
P2119 11707 6 1
P2120 11715 9 3
P2121 11722 2 2
P2122 11723 6 9
P2123 11727 10 12
P2124 11728 17 19
P2125 11732 19 8
P2126 11735 11 16
P2127 11739 10 19
P2128 11741 11 8
P2129 11746 20 12
P2130 11752 2 2
P2131 11761 4 14
P2132 11766 8 16
P2133 11775 4 6
P2134 11785 5 10
P2135 11786 12 18
P2136 11796 7 15
P2137 11805 11 12
P2138 11811 9 7
P2139 11812 10 20
P2140 11822 4 13
P2141 11832 12 15
P2142 11834 15 13
P2143 11835 20 20
P2144 11838 20 2
P2145 11848 4 7
P2146 11855 12 12
P2147 11863 9 2
P2148 11867 16 2
P2149 11872 6 3
P2150 11873 10 20
P2151 11875 4 7
P2152 11876 9 15
P2153 11877 9 18
P2154 11883 8 1
P2155 11892 7 16
P2156 11897 14 8
P2157 11906 11 11
P2158 11916 8 17
P2159 11917 19 19
P2160 11923 6 18
P2161 11929 3 10
P2162 11936 11 4
P2163 11943 3 15
P2164 11944 20 12
P2165 11946 3 13
P2166 11948 13 8
P2167 11953 8 9
P2168 11960 20 17
P2169 11964 10 18
P2170 11967 14 18
P2171 11976 20 18
P2172 11985 8 4
P2173 11986 9 14
P2174 11996 1 12
P2175 12000 6 12
P2176 12007 11 13
P2177 12013 11 18
P2178 12022 19 12
P2179 12029 9 11
P2180 12030 5 7
P2181 12031 20 20
P2182 12032 2 19
P2183 12038 15 5
P2184 12040 12 2
P2185 12042 3 20
P2186 12049 6 2
P2187 12059 9 6
P2188 12060 6 18
P2189 12068 18 20
P2190 12071 12 9
P2191 12080 16 1
P2192 12089 11 16
P2193 12096 4 1
P2194 12104 14 17
P2195 12114 18 19
P2196 12118 12 7
P2197 12121 14 15
P2198 12127 18 16
P2199 12131 5 8
P2200 12135 20 18
P2201 12144 9 15
P2202 12149 19 10
P2203 12158 20 11
P2204 12165 15 20
P2205 12171 8 7
P2206 12172 13 7
P2207 12174 16 17
P2208 12179 1 13
P2209 12184 16 10
P2210 12192 19 6
P2211 12198 20 14
P2212 12201 20 3
P2213 12210 11 17
P2214 12217 18 20
P2215 12226 1 11
P2216 12229 16 3
P2217 12233 1 6
P2218 12241 16 2
P2219 12246 12 19
P2220 12256 1 6
P2221 12259 20 6
P2222 12262 3 4
P2223 12272 1 7
P2224 12282 15 14
P2225 12284 11 13
P2226 12289 7 11
P2227 12294 16 13
P2228 12297 14 14
P2229 12303 2 9
P2230 12307 5 4
P2231 12310 13 6
P2232 12311 5 5
P2233 12317 12 15
P2234 12323 4 5
P2235 12325 4 10
P2236 12330 9 2
P2237 12331 5 5
P2238 12332 16 12
P2239 12339 6 15
P2240 12344 4 16
P2241 12348 2 19
P2242 12355 6 14
P2243 12356 19 4
P2244 12359 19 15
P2245 12369 14 14
P2246 12378 4 14
P2247 12382 8 19
P2248 12384 12 11
P2249 12385 14 10
P2250 12392 10 15
P2251 12397 15 15
P2252 12403 20 16
P2253 12411 15 3
P2254 12415 12 14
P2255 12418 14 20
P2256 12421 9 14
P2257 12427 11 13
P2258 12431 5 3
P2259 12432 9 6
P2260 12440 14 5
P2261 12441 14 7
P2262 12444 19 14
P2263 12446 18 15
P2264 12447 3 4
P2265 12453 6 9
P2266 12458 1 13
P2267 12463 9 11
P2268 12471 6 9
P2269 12477 5 2
P2270 12485 6 13
P2271 12490 4 11
P2272 12492 2 17
P2273 12493 6 5
P2274 12499 10 13
P2275 12505 12 3
P2276 12510 13 15
P2277 12514 17 14
P2278 12524 6 5
P2279 12525 6 3
P2280 12529 8 14
P2281 12534 3 8
P2282 12544 4 11
P2283 12554 4 4
P2284 12557 2 11
P2285 12562 18 1
P2286 12565 16 3
P2287 12571 11 9
P2288 12572 9 13
P2289 12580 13 18
P2290 12585 9 6
P2291 12595 5 20
P2292 12604 11 3
P2293 12613 7 4
P2294 12619 15 16
P2295 12621 18 19
P2296 12622 8 4
P2297 12631 12 6
P2298 12636 13 17
P2299 12641 16 7
P2300 12650 3 6
P2301 12655 8 16
P2302 12665 10 8
P2303 12673 14 4
P2304 12683 11 14
P2305 12690 7 16
P2306 12699 1 17
P2307 12706 13 14
P2308 12713 7 2
P2309 12717 1 3
P2310 12726 13 6
P2311 12733 18 19
P2312 12739 5 6
P2313 12744 4 6
P2314 12753 9 20
P2315 12758 14 20
P2316 12763 8 3
P2317 12769 11 13
P2318 12778 19 7
P2319 12784 8 12
P2320 12794 7 18
P2321 12802 16 12
P2322 12811 16 18
P2323 12812 19 2
P2324 12818 1 13
P2325 12820 16 9
P2326 12823 12 4
P2327 12827 12 3
P2328 12828 10 19
P2329 12832 14 10
P2330 12834 10 16
P2331 12838 15 9
P2332 12844 11 13
P2333 12852 1 12
P2334 12853 14 7
P2335 12860 4 19
P2336 12867 18 20
P2337 12869 10 11
P2338 12875 5 8
P2339 12877 20 5
P2340 12883 3 12
P2341 12884 6 19
P2342 12887 9 19
P2343 12889 4 13
P2344 12893 14 6
P2345 12896 4 10
P2346 12900 18 13
P2347 12901 17 10
P2348 12908 17 14
P2349 12909 7 19
P2350 12919 17 18
P2351 12923 17 8
P2352 12933 16 15
P2353 12942 17 3
P2354 12952 7 1
P2355 12953 10 5
P2356 12958 8 14
P2357 12965 6 11
P2358 12969 1 1
P2359 12971 12 11
P2360 12972 16 17
P2361 12973 19 9
P2362 12975 2 8
P2363 12980 4 2
P2364 12984 11 5
P2365 12989 17 18
P2366 12998 16 13
P2367 13000 2 7
P2368 13006 7 10
P2369 13013 11 4
P2370 13016 11 4
P2371 13018 3 9
P2372 13025 12 10
P2373 13034 15 15
P2374 13041 18 13
P2375 13051 3 11
P2376 13055 15 4
P2377 13063 20 10
P2378 13071 3 18
P2379 13080 17 11
P2380 13090 9 17
P2381 13100 17 11
P2382 13101 10 1
P2383 13104 6 10
P2384 13108 3 4
P2385 13117 15 19
P2386 13127 5 5
P2387 13130 3 12
P2388 13137 1 3
P2389 13140 17 4
P2390 13142 7 7
P2391 13145 2 5
P2392 13152 15 5
P2393 13161 7 11
P2394 13163 14 4
P2395 13170 13 20
P2396 13180 6 6
P2397 13187 8 2
P2398 13196 9 9
P2399 13206 16 12
P2400 13207 14 4
P2401 13211 17 17
P2402 13217 18 15
P2403 13223 4 9
P2404 13225 10 4
P2405 13233 13 15
P2406 13242 8 8
P2407 13244 5 16
P2408 13250 9 13
P2409 13255 19 20
P2410 13265 8 2
P2411 13269 19 17
P2412 13279 20 15
P2413 13280 5 5
P2414 13284 6 6
P2415 13292 11 12
P2416 13300 1 6
P2417 13302 19 11
P2418 13303 1 8
P2419 13309 11 7
P2420 13315 7 20
P2421 13324 20 20
P2422 13327 14 17
P2423 13336 18 11
P2424 13339 18 16
P2425 13349 19 7
P2426 13351 10 16
P2427 13360 12 17
P2428 13364 12 10
P2429 13372 17 19
P2430 13378 1 17
P2431 13384 6 18
P2432 13392 12 8
P2433 13395 17 19
P2434 13402 8 11
P2435 13409 17 13
P2436 13412 10 9
P2437 13416 4 7
P2438 13425 10 5
P2439 13430 9 13
P2440 13437 15 12
P2441 13443 18 13
P2442 13448 1 11
P2443 13454 9 6
P2444 13459 7 6
P2445 13466 5 12
P2446 13474 20 6
P2447 13479 8 8
P2448 13488 9 17
P2449 13498 17 9
P2450 13506 10 17
P2451 13511 18 6
P2452 13513 18 4
P2453 13519 4 13
P2454 13528 6 13
P2455 13533 20 4
P2456 13537 17 10
P2457 13543 7 15
P2458 13545 1 4
P2459 13555 20 20
P2460 13563 17 2
P2461 13572 8 3
P2462 13573 16 12
P2463 13574 5 18
P2464 13579 12 4
P2465 13587 14 1
P2466 13589 11 14
P2467 13590 1 17
P2468 13600 11 18
P2469 13605 15 18
P2470 13609 17 2
P2471 13614 12 8
P2472 13624 17 18
P2473 13629 13 12
P2474 13632 1 4
P2475 13636 20 18
P2476 13645 5 6
P2477 13649 14 1
P2478 13655 9 10
P2479 13662 6 2
P2480 13671 3 20
P2481 13678 16 7
P2482 13683 17 19
P2483 13690 16 2
P2484 13693 7 4
P2485 13699 4 1
P2486 13709 3 2
P2487 13714 12 1
P2488 13723 8 14
P2489 13732 18 1
P2490 13736 16 4
P2491 13737 1 10
P2492 13738 18 12
P2493 13745 14 4
P2494 13749 18 10
P2495 13751 19 7
P2496 13756 2 4
P2497 13763 17 17
P2498 13764 12 7
P2499 13767 16 2
P2500 13772 17 11
P2501 13776 6 6
P2502 13777 5 13
P2503 13785 8 16
P2504 13790 8 10
P2505 13793 3 19
P2506 13801 6 1
P2507 13805 4 8
P2508 13808 2 16
P2509 13818 11 12
P2510 13824 13 20
P2511 13828 15 9
P2512 13830 19 19
P2513 13835 5 14
P2514 13837 14 12
P2515 13840 10 14
P2516 13850 20 19
P2517 13860 13 10
P2518 13861 20 16
P2519 13865 2 16
P2520 13869 8 16
P2521 13871 5 14
P2522 13878 16 16
P2523 13885 6 18
P2524 13890 10 16
P2525 13894 7 3
P2526 13900 18 11
P2527 13906 1 9
P2528 13911 14 9
P2529 13920 10 13
P2530 13921 15 18
P2531 13931 10 4
P2532 13936 4 11
P2533 13941 18 1
P2534 13951 18 16
P2535 13960 14 2
P2536 13968 7 9
P2537 13971 12 4
P2538 13972 18 19
P2539 13977 6 16
P2540 13986 7 16
P2541 13995 14 17
P2542 13998 16 10
P2543 14006 1 1
P2544 14009 14 4
P2545 14013 11 18
P2546 14022 17 19
P2547 14028 6 2
P2548 14038 16 18
P2549 14047 18 6
P2550 14056 14 11
P2551 14059 10 15
P2552 14060 16 2
P2553 14069 7 1
P2554 14074 11 8
P2555 14077 5 12
P2556 14085 5 18
P2557 14093 14 3
P2558 14096 13 19
P2559 14098 16 9
P2560 14101 17 14
P2561 14103 20 18
P2562 14106 4 19
P2563 14115 10 1
P2564 14124 9 10
P2565 14125 11 16
P2566 14127 12 17
P2567 14131 2 12
P2568 14140 18 6
P2569 14143 17 8
P2570 14152 6 20
P2571 14161 4 18
P2572 14162 7 17
P2573 14167 3 12
P2574 14173 9 11
P2575 14183 6 6
P2576 14185 19 12
P2577 14190 11 14
P2578 14195 6 12
P2579 14201 18 7
P2580 14203 8 16
P2581 14204 16 10
P2582 14210 1 4
P2583 14220 17 14
P2584 14227 12 13
P2585 14230 1 16
P2586 14231 6 8
P2587 14235 1 16
P2588 14242 8 1
P2589 14251 20 2
P2590 14258 11 19
P2591 14265 14 2
P2592 14274 11 5
P2593 14275 11 12
P2594 14283 6 14
P2595 14288 6 11
P2596 14289 11 9
P2597 14295 20 18
P2598 14299 14 10
P2599 14309 16 5
P2600 14318 14 18
P2601 14322 14 11
P2602 14323 13 13
P2603 14330 4 15
P2604 14336 18 16
P2605 14339 15 4
P2606 14348 14 6
P2607 14351 4 16
P2608 14354 7 6
P2609 14358 4 8
P2610 14367 4 7
P2611 14377 20 12
P2612 14382 14 18
P2613 14385 6 13
P2614 14391 1 1
P2615 14396 9 20
P2616 14398 1 4
P2617 14401 11 17
P2618 14411 12 1
P2619 14419 6 11
P2620 14424 18 13
P2621 14427 16 18
P2622 14435 8 1
P2623 14442 17 4
P2624 14448 14 7
P2625 14452 12 3
P2626 14456 11 15
P2627 14462 2 5
P2628 14467 3 4
P2629 14476 10 17
P2630 14482 1 5
P2631 14488 9 5
P2632 14496 18 9
P2633 14498 2 5
P2634 14503 5 14
P2635 14505 4 14
P2636 14514 13 16
P2637 14524 18 15
P2638 14527 1 5
P2639 14529 13 20
P2640 14536 20 16
P2641 14539 15 6
P2642 14545 13 4
P2643 14550 14 17
P2644 14554 5 19
P2645 14563 13 13
P2646 14566 10 19
P2647 14567 3 1
